State Postal,County Name,TOTAL VOTES CAST,Last name,Votes,Last name,Votes,Ratio Obama/Romney
AK,Alaska,220596,Obama,91696,Romney,121234,0.7563554778
AK,Alaska,220596,Obama,91696,Romney,121234,0.7563554778
AL,Alabama,2064699,Obama,793620,Romney,1252453,0.6336525203
AL,Autauga,23909,Obama,6354,Romney,17366,0.3658873661
AL,Baldwin,84988,Obama,18329,Romney,65772,0.278674816
AL,Barbour,11459,Obama,5873,Romney,5539,1.0602996931
AL,Bibb,8391,Obama,2200,Romney,6131,0.3588321644
AL,Blount,23980,Obama,2961,Romney,20741,0.1427607155
AL,Bullock,5318,Obama,4058,Romney,1250,3.2464
AL,Butler,9483,Obama,4367,Romney,5081,0.859476481
AL,Calhoun,46240,Obama,15500,Romney,30272,0.5120243129
AL,Chambers,14562,Obama,6853,Romney,7596,0.9021853607
AL,Cherokee,9761,Obama,2126,Romney,7494,0.2836936216
AL,Chilton,17434,Obama,3391,Romney,13910,0.2437814522
AL,Choctaw,7965,Obama,3785,Romney,4150,0.9120481928
AL,Clarke,13827,Obama,6317,Romney,7463,0.8464424494
AL,Clay,6640,Obama,1770,Romney,4802,0.3685964182
AL,Cleburne,6302,Obama,971,Romney,5269,0.1842854432
AL,Coffee,19715,Obama,4899,Romney,14638,0.3346768684
AL,Colbert,23374,Obama,9160,Romney,13931,0.65752638
AL,Conecuh,7013,Obama,3551,Romney,3434,1.0340710542
AL,Coosa,5243,Obama,2188,Romney,3028,0.7225891678
AL,Covington,15415,Obama,3155,Romney,12148,0.2597135331
AL,Crenshaw,6411,Obama,2048,Romney,4326,0.4734165511
AL,Cullman,33178,Obama,4855,Romney,27930,0.1738274257
AL,Dale,18551,Obama,5283,Romney,13105,0.4031285769
AL,Dallas,20936,Obama,14599,Romney,6284,2.3232017823
AL,DeKalb,23842,Obama,5235,Romney,18316,0.2858156803
AL,Elmore,35440,Obama,8940,Romney,26223,0.3409220913
AL,Escambia,14832,Obama,5476,Romney,9263,0.5911691677
AL,Etowah,42490,Obama,12792,Romney,29102,0.4395574187
AL,Fayette,7912,Obama,1803,Romney,6034,0.2988067617
AL,Franklin,10859,Obama,3171,Romney,7567,0.4190564292
AL,Geneva,11318,Obama,2039,Romney,9173,0.2222827864
AL,Greene,5328,Obama,4514,Romney,799,5.6495619524
AL,Hale,8628,Obama,5401,Romney,3205,1.6851794072
AL,Henry,8700,Obama,3046,Romney,5605,0.5434433541
AL,Houston,41843,Obama,12348,Romney,29214,0.4226740604
AL,Jackson,20555,Obama,5817,Romney,14422,0.4033421162
AL,Jefferson,303424,Obama,159658,Romney,141413,1.1290192557
AL,Lamar,7159,Obama,1643,Romney,5453,0.3013020356
AL,Lauderdale,36908,Obama,12504,Romney,23902,0.5231361392
AL,Lawrence,14079,Obama,5055,Romney,8855,0.5708639187
AL,Lee,54115,Obama,21274,Romney,32062,0.6635269166
AL,Limestone,35406,Obama,9809,Romney,25263,0.3882753434
AL,Lowndes,7519,Obama,5747,Romney,1754,3.2765108324
AL,Macon,10385,Obama,9045,Romney,1322,6.8419062027
AL,Madison,154632,Obama,61802,Romney,90679,0.6815469954
AL,Marengo,11509,Obama,6154,Romney,5321,1.1565495208
AL,Marion,12104,Obama,2249,Romney,9696,0.2319513201
AL,Marshall,32455,Obama,6271,Romney,25785,0.2432034128
AL,Mobile,174189,Obama,78417,Romney,94566,0.8292303788
AL,Monroe,10680,Obama,4897,Romney,5730,0.8546247818
AL,Montgomery,101781,Obama,62993,Romney,38283,1.6454562077
AL,Morgan,49198,Obama,13401,Romney,35309,0.3795349628
AL,Perry,6065,Obama,4536,Romney,1504,3.0159574468
AL,Pickens,9599,Obama,4448,Romney,5119,0.8689197109
AL,Pike,14057,Obama,6009,Romney,7939,0.7568963346
AL,Randolph,10391,Obama,3076,Romney,7219,0.4260977975
AL,Russell,18871,Obama,10495,Romney,8276,1.2681246979
AL,St. Clair,35105,Obama,5790,Romney,29001,0.199648288
AL,Shelby,92204,Obama,19944,Romney,71243,0.2799432927
AL,Sumter,7025,Obama,5420,Romney,1585,3.4195583596
AL,Talladega,33317,Obama,13878,Romney,19217,0.7221730759
AL,Tallapoosa,18668,Obama,6252,Romney,12303,0.5081687393
AL,Tuscaloosa,78495,Obama,32003,Romney,45703,0.7002384964
AL,Walker,28497,Obama,6551,Romney,21633,0.3028243887
AL,Washington,8761,Obama,2971,Romney,5749,0.5167855279
AL,Wilcox,6547,Obama,4867,Romney,1676,2.9039379475
AL,Winston,9712,Obama,1286,Romney,8310,0.1547533093
AR,Arkansas,1062831,Obama,391953,Romney,643717,0.6088902421
AR,Arkansas,6488,Obama,2454,Romney,3892,0.6305241521
AR,Ashley,7915,Obama,2855,Romney,4866,0.5867242088
AR,Baxter,19339,Obama,5172,Romney,13688,0.377849211
AR,Benton,77525,Obama,22144,Romney,53477,0.4140845597
AR,Boone,15363,Obama,3762,Romney,11143,0.3376110563
AR,Bradley,3634,Obama,1447,Romney,2118,0.6831916903
AR,Calhoun,2174,Obama,660,Romney,1458,0.4526748971
AR,Carroll,10172,Obama,3691,Romney,6121,0.6030060448
AR,Chicot,4361,Obama,2649,Romney,1670,1.5862275449
AR,Clark,8406,Obama,3808,Romney,4343,0.8768132627
AR,Clay,5110,Obama,1738,Romney,3225,0.5389147287
AR,Cleburne,11643,Obama,2618,Romney,8691,0.3012311587
AR,Cleveland,3266,Obama,845,Romney,2313,0.3653264159
AR,Columbia,9455,Obama,3557,Romney,5790,0.6143350604
AR,Conway,7724,Obama,3003,Romney,4511,0.6657060519
AR,Craighead,31207,Obama,10351,Romney,20044,0.5164138894
AR,Crawford,20562,Obama,4872,Romney,15125,0.3221157025
AR,Crittenden,15513,Obama,9092,Romney,6192,1.4683462532
AR,Cross,6680,Obama,2279,Romney,4268,0.5339737582
AR,Dallas,3083,Obama,1337,Romney,1664,0.8034855769
AR,Desha,4240,Obama,2353,Romney,1807,1.3021582734
AR,Drew,6626,Obama,2627,Romney,3883,0.6765387587
AR,Faulkner,41322,Obama,13559,Romney,26653,0.5087232207
AR,Franklin,6539,Obama,1725,Romney,4631,0.372489743
AR,Fulton,4522,Obama,1452,Romney,2949,0.492370295
AR,Garland,39241,Obama,13317,Romney,25031,0.5320202948
AR,Grant,6478,Obama,1467,Romney,4829,0.3037896045
AR,Greene,13754,Obama,3998,Romney,9066,0.440988308
AR,Hempstead,6919,Obama,2466,Romney,4284,0.5756302521
AR,Hot Spring,11239,Obama,3824,Romney,7087,0.5395795118
AR,Howard,4419,Obama,1460,Romney,2862,0.5101327743
AR,Independence,12390,Obama,3279,Romney,8724,0.3758596974
AR,Izard,5313,Obama,1563,Romney,3571,0.4376925231
AR,Jackson,5338,Obama,2093,Romney,3065,0.6828711256
AR,Jefferson,27364,Obama,17456,Romney,9515,1.8345769837
AR,Johnson,8064,Obama,2785,Romney,5045,0.5520317146
AR,Lafayette,2928,Obama,1173,Romney,1712,0.6851635514
AR,Lawrence,5537,Obama,1786,Romney,3535,0.5052333805
AR,Lee,3424,Obama,2107,Romney,1280,1.64609375
AR,Lincoln,3725,Obama,1424,Romney,2199,0.6475670759
AR,Little River,5051,Obama,1552,Romney,3385,0.458493353
AR,Logan,7330,Obama,2009,Romney,5078,0.3956282001
AR,Lonoke,24083,Obama,5612,Romney,17863,0.3141689526
AR,Madison,6567,Obama,2099,Romney,4262,0.4924917879
AR,Marion,7029,Obama,2024,Romney,4771,0.4242297212
AR,Miller,15329,Obama,4518,Romney,10622,0.4253436264
AR,Mississippi,13349,Obama,6445,Romney,6599,0.9766631308
AR,Monroe,3230,Obama,1583,Romney,1585,0.9987381703
AR,Montgomery,3403,Obama,920,Romney,2368,0.3885135135
AR,Nevada,3384,Obama,1314,Romney,1996,0.6583166333
AR,Newton,3661,Obama,993,Romney,2508,0.3959330144
AR,Ouachita,10303,Obama,4626,Romney,5516,0.8386511965
AR,Perry,3937,Obama,1187,Romney,2580,0.4600775194
AR,Phillips,7900,Obama,5179,Romney,2591,1.9988421459
AR,Pike,3787,Obama,850,Romney,2847,0.2985598876
AR,Poinsett,7550,Obama,2387,Romney,4967,0.4805717737
AR,Polk,7721,Obama,1556,Romney,5950,0.261512605
AR,Pope,20390,Obama,5108,Romney,14733,0.3467046766
AR,Prairie,3134,Obama,877,Romney,2149,0.4080967892
AR,Pulaski,159055,Obama,87055,Romney,68856,1.2643052167
AR,Randolph,5948,Obama,2040,Romney,3699,0.5515004055
AR,Saint Francis,8021,Obama,4652,Romney,3287,1.4152722848
AR,Saline,47059,Obama,12868,Romney,32962,0.3903889327
AR,Scott,3637,Obama,895,Romney,2630,0.3403041825
AR,Searcy,3694,Obama,814,Romney,2699,0.3015931827
AR,Sebastian,43340,Obama,13083,Romney,29158,0.448693326
AR,Sevier,4328,Obama,1042,Romney,3135,0.3323763955
AR,Sharp,7282,Obama,2092,Romney,4920,0.425203252
AR,Stone,5351,Obama,1356,Romney,3773,0.3593957063
AR,Union,17160,Obama,6182,Romney,10696,0.577973074
AR,Van Buren,6421,Obama,1826,Romney,4362,0.4186153141
AR,Washington,70231,Obama,28136,Romney,39570,0.71104372
AR,White,26508,Obama,5765,Romney,20005,0.2881779555
AR,Woodruff,2685,Obama,1340,Romney,1227,1.0920945395
AR,Yell,5971,Obama,1720,Romney,4041,0.4256372185
AZ,Arizona,2041519,Obama,900081,Romney,1107130,0.8129858282
AZ,Apache,25465,Obama,16833,Romney,8198,2.0533056843
AZ,Cochise,43776,Obama,16223,Romney,26742,0.6066487174
AZ,Coconino,46746,Obama,26316,Romney,19368,1.3587360595
AZ,Gila,18477,Obama,6650,Romney,11525,0.5770065076
AZ,Graham,11854,Obama,3608,Romney,8076,0.4467558197
AZ,Greenlee,2972,Obama,1310,Romney,1590,0.8238993711
AZ,La Paz,4922,Obama,1619,Romney,3205,0.5051482059
AZ,Maricopa,1187008,Obama,512008,Romney,654835,0.7818885673
AZ,Mohave,65949,Obama,18324,Romney,46442,0.3945566513
AZ,Navajo,35775,Obama,16157,Romney,19155,0.8434873401
AZ,Pima,351817,Obama,183470,Romney,162927,1.1260871433
AZ,Pinal,102139,Obama,41428,Romney,58947,0.7028008211
AZ,Santa Cruz,13894,Obama,9486,Romney,4235,2.239905549
AZ,Yavapai,96790,Obama,32624,Romney,62385,0.522946221
AZ,Yuma,33935,Obama,14025,Romney,19500,0.7192307692
CA,California,10538656,Obama,6241648,Romney,4046524,1.5424715138
